2017/6/13,  16:17:22, 16353, 35, 81, 85, 0.21, 22.04, 44.19, 67.75, 28.91, 
2017/6/13,  16:17:22, 16354, 35, 81, 85, 0.21, 24.01, 44.19, 67.87, 28.87, 
2017/6/13,  16:17:22, 16353, 35, 81, 85, 0.21, 22.04, 44.19, 67.75, 28.91, 
2017/6/13,  16:17:24, 16356, 35, 81, 86, 0.21, 24.01, 43.75, 67.87, 28.87, 
2017/6/13,  16:17:23, 16355, 35, 81, 85, 0.21, 22.04, 44.19, 67.75, 28.87, 
2017/6/13,  16:17:25, 16358, 35, 81, 86, 0.21, 24.01, 43.75, 67.81, 28.87, 
2017/6/13,  16:17:24, 16357, 35, 81, 86, 0.21, 24.01, 43.75, 67.94, 28.87, 
2017/6/13,  16:17:26, 16360, 35, 81, 85, 0.21, 24.01, 43.97, 67.81, 28.91, 
2017/6/13,  16:17:25, 16359, 35, 81, 85, 0.21, 22.04, 43.97, 67.75, 28.91, 
2017/6/13,  16:17:27, 16362, 36, 81, 83, 0.21, 24.01, 43.97, 67.87, 28.91, 
2017/6/13,  16:17:27, 16361, 36, 81, 83, 0.21, 22.04, 43.97, 67.87, 28.87, 
2017/6/13,  16:17:28, 16364, 39, 81, 83, 0.21, 26.09, 43.97, 67.87, 28.91, 
2017/6/13,  16:17:28, 16363, 36, 81, 83, 0.21, 22.04, 43.97, 67.87, 28.87, 
2017/6/13,  16:17:30, 16366, 39, 81, 83, 0.21, 22.04, 43.97, 67.94, 28.94, 
2017/6/13,  16:17:29, 16365, 39, 81, 83, 0.21, 24.01, 43.97, 67.94, 28.87, 
2017/6/13,  16:17:31, 16368, 41, 82, 86, 0.21, 24.01, 43.97, 67.87, 28.91, 
2017/6/13,  16:17:30, 16367, 41, 82, 86, 0.21, 20.19, 43.97, 67.87, 28.91, 
2017/6/13,  16:17:32, 16370, 40, 82, 87, 0.21, 22.04, 43.97, 68.00, 28.87, 
2017/6/13,  16:17:32, 16369, 41, 82, 86, 0.21, 24.01, 43.97, 67.87, 28.87, 
